unique_image_area_coverage,candidate_area_ratio,ocr_box_center_coverage,small_box_coverage,num_candidates,edge_patch_hit,image_id,question_id,gen_s
1.0,1.9291717277665756,1.0,1.0,132.0,1.0,docvqa_val_49153,,0.23687680000011824
1.0,1.8852537760739863,1.0,1.0,35.0,1.0,docvqa_val_24580,,0.024855099999967933
1.0,1.9586306659511465,1.0,1.0,139.0,1.0,docvqa_val_57349,,0.2178146999999626
1.0,1.8852537760739863,1.0,1.0,35.0,1.0,docvqa_val_24581,,0.02144990000033431
1.0,1.8852537760739863,1.0,1.0,35.0,1.0,docvqa_val_24582,,0.023651800000152434
1.0,1.9660776287236141,1.0,1.0,77.0,1.0,docvqa_val_39079,,0.0812447999996948
1.0,1.9586306659511465,1.0,1.0,139.0,1.0,docvqa_val_57357,,0.22274030000016865
1.0,2.05532913782253,1.0,1.0,142.0,1.0,docvqa_val_24426,,0.16031569999995554
1.0,1.8393802776585086,1.0,1.0,49.0,1.0,docvqa_val_49168,,0.061270000000149594
1.0,2.05532913782253,1.0,1.0,142.0,1.0,docvqa_val_24423,,0.1630142000003616
1.0,1.8393802776585086,1.0,1.0,49.0,1.0,docvqa_val_49172,,0.061811800000214134
1.0,1.9586306659511465,1.0,1.0,139.0,1.0,docvqa_val_57364,,0.2524008000000322
1.0,1.9586306659511465,1.0,1.0,139.0,1.0,docvqa_val_57366,,0.24232800000027055
1.0,2.0284021149570126,1.0,1.0,133.0,1.0,docvqa_val_57368,,0.17858180000030188
1.0,1.8393802776585086,1.0,1.0,49.0,1.0,docvqa_val_49177,,0.06124470000031579
1.0,2.0284021149570126,1.0,1.0,133.0,1.0,docvqa_val_57370,,0.15126669999972364
1.0,2.0284021149570126,1.0,1.0,133.0,1.0,docvqa_val_57371,,0.15650630000027377
1.0,2.0284021149570126,1.0,1.0,133.0,1.0,docvqa_val_57372,,0.16562870000007024
1.0,1.8393802776585086,1.0,1.0,49.0,1.0,docvqa_val_49181,,0.0631217000000106
1.0,2.0284021149570126,1.0,1.0,133.0,1.0,docvqa_val_57373,,0.1831726999998864
1.0,2.3025768289020223,1.0,1.0,160.0,1.0,docvqa_val_57374,,0.13733970000021145
1.0,2.3025768289020223,1.0,1.0,160.0,1.0,docvqa_val_57375,,0.1768738000000667
1.0,2.3025768289020223,1.0,1.0,160.0,1.0,docvqa_val_57376,,0.1831014999997933
1.0,1.8393802776585086,1.0,1.0,49.0,1.0,docvqa_val_49187,,0.06885650000003807
1.0,1.9081835147574717,1.0,1.0,123.0,1.0,docvqa_val_16424,,0.12362819999998464
1.0,2.3025768289020223,1.0,1.0,160.0,1.0,docvqa_val_57386,,0.16500730000007025
1.0,2.3025768289020223,1.0,1.0,160.0,1.0,docvqa_val_57387,,0.16884380000010424
