track,comparison,metric,mean_diff,ci_lower,ci_upper,n_pairs
ocr,bops_p8_vs_resize_a025,word_recall,0.07673540038572577,0.05202852433259062,0.10222334834141288,200
ocr,bops_p8_vs_original,word_recall,-0.034801144185922055,-0.05439111305968429,-0.015819789556134264,200
vlm,bops_vs_random,anls,0.035922764227642276,-0.004396588269454122,0.08302945702671312,100
vlm,bops_vs_uniform,anls,-0.018417002472943332,-0.08829669540229884,0.04116216983820539,100
vlm,bops_vs_overview_only,anls,0.003311339197860248,-0.04794009829541572,0.05371168955387032,100
